 Embeddings Trainable: True 

 --- 1 ---,  Epoch: 15, Average train loss: 1.523798, Train accuracy: 0.500730, Valid accuracy: 0.264798, Test accuracy: 0.269680
 --- 1 ---,  Epoch: 16, Average train loss: 1.512770, Train accuracy: 0.511637, Valid accuracy: 0.259346, Test accuracy: 0.263445
 --- 1 ---,  Epoch: 17, Average train loss: 1.499624, Train accuracy: 0.522544, Valid accuracy: 0.261682, Test accuracy: 0.268122
 --- 1 ---,  Epoch: 18, Average train loss: 1.482106, Train accuracy: 0.529652, Valid accuracy: 0.253894, Test accuracy: 0.265783
 --- 1 ---,  Epoch: 19, Average train loss: 1.468772, Train accuracy: 0.537832, Valid accuracy: 0.257788, Test accuracy: 0.266563
 --- 1 ---,  Epoch: 20, Average train loss: 1.461955, Train accuracy: 0.546791, Valid accuracy: 0.256231, Test accuracy: 0.261886
 --- 1 ---,  Epoch: 21, Average train loss: 1.445517, Train accuracy: 0.555945, Valid accuracy: 0.253894, Test accuracy: 0.261886
 --- 1 ---,  Epoch: 22, Average train loss: 1.427778, Train accuracy: 0.564417, Valid accuracy: 0.251558, Test accuracy: 0.257210
 --- 1 ---,  Epoch: 23, Average train loss: 1.418046, Train accuracy: 0.572597, Valid accuracy: 0.248442, Test accuracy: 0.255651
 --- 1 ---,  Epoch: 24, Average train loss: 1.402434, Train accuracy: 0.580680, Valid accuracy: 0.245327, Test accuracy: 0.261886
 --- 1 ---,  Epoch: 25, Average train loss: 1.393370, Train accuracy: 0.589054, Valid accuracy: 0.252336, Test accuracy: 0.266563
 --- 1 ---,  Epoch: 26, Average train loss: 1.382119, Train accuracy: 0.597916, Valid accuracy: 0.244548, Test accuracy: 0.273578
 --- 1 ---,  Epoch: 27, Average train loss: 1.371456, Train accuracy: 0.603856, Valid accuracy: 0.247664, Test accuracy: 0.264224
 --- 1 ---,  Epoch: 28, Average train loss: 1.356409, Train accuracy: 0.611257, Valid accuracy: 0.253115, Test accuracy: 0.265004
 --- 1 ---,  Epoch: 29, Average train loss: 1.352790, Train accuracy: 0.619340, Valid accuracy: 0.249221, Test accuracy: 0.259548
 --- 2 ---,  Epoch: 0, Average train loss: 1.775428, Train accuracy: 0.268965, Valid accuracy: 0.227414, Test accuracy: 0.217459
 --- 2 ---,  Epoch: 1, Average train loss: 1.736731, Train accuracy: 0.286883, Valid accuracy: 0.245327, Test accuracy: 0.249415
