 Embeddings: glove_100d_6b

 --- glove_100d_6b ---, Experiment: 1,  Epoch: 8, Average train loss: 1.684752, Train accuracy: 0.330509, Valid accuracy: 0.265576, Test accuracy: 0.260327
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 9, Average train loss: 1.678902, Train accuracy: 0.337034, Valid accuracy: 0.262461, Test accuracy: 0.261107
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 10, Average train loss: 1.672453, Train accuracy: 0.349206, Valid accuracy: 0.267134, Test accuracy: 0.262666
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 11, Average train loss: 1.665423, Train accuracy: 0.355633, Valid accuracy: 0.267134, Test accuracy: 0.258768
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 12, Average train loss: 1.656635, Train accuracy: 0.361184, Valid accuracy: 0.266355, Test accuracy: 0.261107
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 13, Average train loss: 1.650465, Train accuracy: 0.361476, Valid accuracy: 0.266355, Test accuracy: 0.256430
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 14, Average train loss: 1.646985, Train accuracy: 0.370435, Valid accuracy: 0.267913, Test accuracy: 0.259548
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 15, Average train loss: 1.640337, Train accuracy: 0.375012, Valid accuracy: 0.271807, Test accuracy: 0.254871
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 16, Average train loss: 1.632352, Train accuracy: 0.380855, Valid accuracy: 0.268692, Test accuracy: 0.254092
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 17, Average train loss: 1.628540, Train accuracy: 0.382608, Valid accuracy: 0.268692, Test accuracy: 0.257989
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 18, Average train loss: 1.621314, Train accuracy: 0.390398, Valid accuracy: 0.277259, Test accuracy: 0.253313
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 19, Average train loss: 1.614640, Train accuracy: 0.398578, Valid accuracy: 0.276480, Test accuracy: 0.250195
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 20, Average train loss: 1.607800, Train accuracy: 0.402668, Valid accuracy: 0.276480, Test accuracy: 0.250195
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 21, Average train loss: 1.603515, Train accuracy: 0.406077, Valid accuracy: 0.278037, Test accuracy: 0.250195
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 22, Average train loss: 1.596880, Train accuracy: 0.411043, Valid accuracy: 0.279595, Test accuracy: 0.254871
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 23, Average train loss: 1.589260, Train accuracy: 0.415717, Valid accuracy: 0.276480, Test accuracy: 0.257210
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 24, Average train loss: 1.584978, Train accuracy: 0.420878, Valid accuracy: 0.277259, Test accuracy: 0.257989
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 25, Average train loss: 1.582439, Train accuracy: 0.425747, Valid accuracy: 0.278037, Test accuracy: 0.259548
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 26, Average train loss: 1.577085, Train accuracy: 0.429935, Valid accuracy: 0.274143, Test accuracy: 0.262666
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 27, Average train loss: 1.570976, Train accuracy: 0.437433, Valid accuracy: 0.270249, Test accuracy: 0.264224
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 28, Average train loss: 1.565139, Train accuracy: 0.437044, Valid accuracy: 0.271807, Test accuracy: 0.262666
 --- glove_100d_6b ---, Experiment: 1,  Epoch: 29, Average train loss: 1.557089, Train accuracy: 0.443763, Valid accuracy: 0.272586, Test accuracy: 0.265004
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 0, Average train loss: 1.805457, Train accuracy: 0.239264, Valid accuracy: 0.223520, Test accuracy: 0.208885
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 1, Average train loss: 1.760092, Train accuracy: 0.260590, Valid accuracy: 0.229751, Test accuracy: 0.223694
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 2, Average train loss: 1.746845, Train accuracy: 0.271399, Valid accuracy: 0.233645, Test accuracy: 0.229150
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 3, Average train loss: 1.733986, Train accuracy: 0.282598, Valid accuracy: 0.242212, Test accuracy: 0.229930
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 4, Average train loss: 1.725207, Train accuracy: 0.295550, Valid accuracy: 0.241433, Test accuracy: 0.230709
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 5, Average train loss: 1.714668, Train accuracy: 0.304022, Valid accuracy: 0.258567, Test accuracy: 0.237724
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 6, Average train loss: 1.709190, Train accuracy: 0.306748, Valid accuracy: 0.260903, Test accuracy: 0.240062
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 7, Average train loss: 1.698560, Train accuracy: 0.314928, Valid accuracy: 0.261682, Test accuracy: 0.238504
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 8, Average train loss: 1.691918, Train accuracy: 0.324569, Valid accuracy: 0.261682, Test accuracy: 0.233827
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 9, Average train loss: 1.685464, Train accuracy: 0.329243, Valid accuracy: 0.260903, Test accuracy: 0.236165
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 10, Average train loss: 1.682371, Train accuracy: 0.337131, Valid accuracy: 0.253894, Test accuracy: 0.240062
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 11, Average train loss: 1.674355, Train accuracy: 0.345701, Valid accuracy: 0.255452, Test accuracy: 0.243180
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 12, Average train loss: 1.669710, Train accuracy: 0.349304, Valid accuracy: 0.260903, Test accuracy: 0.245518
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 13, Average train loss: 1.661628, Train accuracy: 0.354368, Valid accuracy: 0.260125, Test accuracy: 0.244739
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 14, Average train loss: 1.655975, Train accuracy: 0.361768, Valid accuracy: 0.259346, Test accuracy: 0.245518
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 15, Average train loss: 1.651073, Train accuracy: 0.366540, Valid accuracy: 0.260125, Test accuracy: 0.250974
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 16, Average train loss: 1.644466, Train accuracy: 0.371409, Valid accuracy: 0.257009, Test accuracy: 0.254092
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 17, Average train loss: 1.638767, Train accuracy: 0.377544, Valid accuracy: 0.256231, Test accuracy: 0.255651
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 18, Average train loss: 1.630952, Train accuracy: 0.382608, Valid accuracy: 0.260125, Test accuracy: 0.257210
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 19, Average train loss: 1.628730, Train accuracy: 0.386308, Valid accuracy: 0.260125, Test accuracy: 0.249415
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 20, Average train loss: 1.624788, Train accuracy: 0.393320, Valid accuracy: 0.262461, Test accuracy: 0.257989
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 21, Average train loss: 1.619003, Train accuracy: 0.398578, Valid accuracy: 0.261682, Test accuracy: 0.255651
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 22, Average train loss: 1.613096, Train accuracy: 0.403253, Valid accuracy: 0.257009, Test accuracy: 0.260327
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 23, Average train loss: 1.607039, Train accuracy: 0.405590, Valid accuracy: 0.257788, Test accuracy: 0.259548
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 24, Average train loss: 1.601650, Train accuracy: 0.412504, Valid accuracy: 0.259346, Test accuracy: 0.258768
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 25, Average train loss: 1.595101, Train accuracy: 0.418249, Valid accuracy: 0.264019, Test accuracy: 0.256430
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 26, Average train loss: 1.589986, Train accuracy: 0.421171, Valid accuracy: 0.261682, Test accuracy: 0.257210
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 27, Average train loss: 1.585378, Train accuracy: 0.424481, Valid accuracy: 0.265576, Test accuracy: 0.261107
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 28, Average train loss: 1.579648, Train accuracy: 0.428279, Valid accuracy: 0.261682, Test accuracy: 0.262666
 --- glove_100d_6b ---, Experiment: 2,  Epoch: 29, Average train loss: 1.573012, Train accuracy: 0.434122, Valid accuracy: 0.264798, Test accuracy: 0.265004
