 CRNN

 --- Experiment: 1,  Epoch: 14, Average train loss: 1.549681, Train accuracy: 0.399260, Valid accuracy: 0.272586, Test accuracy: 0.275136
 --- Experiment: 1,  Epoch: 15, Average train loss: 1.531806, Train accuracy: 0.415717, Valid accuracy: 0.264798, Test accuracy: 0.272019
 --- Experiment: 1,  Epoch: 16, Average train loss: 1.513685, Train accuracy: 0.431980, Valid accuracy: 0.267913, Test accuracy: 0.279813
 --- Experiment: 1,  Epoch: 17, Average train loss: 1.493334, Train accuracy: 0.440744, Valid accuracy: 0.265576, Test accuracy: 0.271239
 --- Experiment: 1,  Epoch: 18, Average train loss: 1.473958, Train accuracy: 0.449703, Valid accuracy: 0.260125, Test accuracy: 0.270460
 --- Experiment: 1,  Epoch: 19, Average train loss: 1.451973, Train accuracy: 0.470445, Valid accuracy: 0.268692, Test accuracy: 0.269680
 --- Experiment: 1,  Epoch: 20, Average train loss: 1.429964, Train accuracy: 0.478138, Valid accuracy: 0.265576, Test accuracy: 0.264224
 --- Experiment: 1,  Epoch: 21, Average train loss: 1.414064, Train accuracy: 0.478722, Valid accuracy: 0.258567, Test accuracy: 0.261107
 --- Experiment: 1,  Epoch: 22, Average train loss: 1.391222, Train accuracy: 0.502288, Valid accuracy: 0.253115, Test accuracy: 0.257210
 --- Experiment: 1,  Epoch: 23, Average train loss: 1.374508, Train accuracy: 0.517967, Valid accuracy: 0.252336, Test accuracy: 0.264224
 --- Experiment: 1,  Epoch: 24, Average train loss: 1.354481, Train accuracy: 0.521765, Valid accuracy: 0.253894, Test accuracy: 0.261886
 --- Experiment: 1,  Epoch: 25, Average train loss: 1.332858, Train accuracy: 0.534521, Valid accuracy: 0.253894, Test accuracy: 0.257210
 --- Experiment: 1,  Epoch: 26, Average train loss: 1.311323, Train accuracy: 0.540462, Valid accuracy: 0.258567, Test accuracy: 0.250974
 --- Experiment: 1,  Epoch: 27, Average train loss: 1.302771, Train accuracy: 0.561788, Valid accuracy: 0.258567, Test accuracy: 0.256430
 --- Experiment: 1,  Epoch: 28, Average train loss: 1.273767, Train accuracy: 0.569481, Valid accuracy: 0.255452, Test accuracy: 0.249415
 --- Experiment: 1,  Epoch: 29, Average train loss: 1.262957, Train accuracy: 0.573376, Valid accuracy: 0.265576, Test accuracy: 0.251754
 --- Experiment: 2,  Epoch: 0, Average train loss: 1.765515, Train accuracy: 0.249489, Valid accuracy: 0.244548, Test accuracy: 0.220577
 --- Experiment: 2,  Epoch: 1, Average train loss: 1.732785, Train accuracy: 0.266141, Valid accuracy: 0.253894, Test accuracy: 0.240062
 --- Experiment: 2,  Epoch: 2, Average train loss: 1.712662, Train accuracy: 0.277145, Valid accuracy: 0.255452, Test accuracy: 0.255651
 --- Experiment: 2,  Epoch: 3, Average train loss: 1.698395, Train accuracy: 0.286201, Valid accuracy: 0.252336, Test accuracy: 0.265783
 --- Experiment: 2,  Epoch: 4, Average train loss: 1.684566, Train accuracy: 0.297400, Valid accuracy: 0.253894, Test accuracy: 0.263445
 --- Experiment: 2,  Epoch: 5, Average train loss: 1.671866, Train accuracy: 0.308112, Valid accuracy: 0.265576, Test accuracy: 0.263445
 --- Experiment: 2,  Epoch: 6, Average train loss: 1.659890, Train accuracy: 0.316097, Valid accuracy: 0.263240, Test accuracy: 0.274357
